subject,task,agent1,agent2,choice,dp,devs,devratio
1,PD,D,,D,7,0,0.00
1,PO,O,,N,14,4,0.29
1,PE,E,,E,5,0,0.00
1,DO,D,O,D,7,0,0.00
1,DE,D,E,D,7,0,0.00
1,OD,O,D,D,7,0,0.00
1,OE,O,E,O,7,1,0.14
1,ED,E,D,E,12,2,0.17
1,EO,E,O,E,6,1,0.17
2,PD,D,,D,7,0,0.00
2,PO,O,,D,7,1,0.14
2,PE,E,,E,7,1,0.14
2,DO,D,O,D,7,0,0.00
2,DE,D,E,D,7,0,0.00
2,OD,O,D,D,7,0,0.00
2,OE,O,E,O,8,0,0.00
2,ED,E,D,E,5,0,0.00
2,EO,E,O,E,5,0,0.00
3,PD,D,,D,7,0,0.00
3,PO,O,,O,8,0,0.00
3,PE,E,,E,5,0,0.00
3,DO,D,O,O,10,1,0.10
3,DE,D,E,E,6,0,0.00
3,OD,O,D,D,7,0,0.00
3,OE,O,E,O,7,2,0.29
3,ED,E,D,D,7,0,0.00
3,EO,E,O,O,7,0,0.00
4,PD,D,,D,7,0,0.00
4,PO,O,,O,8,0,0.00
4,PE,E,,E,7,2,0.29
4,DO,D,O,O,8,0,0.00
4,DE,D,E,D,7,0,0.00
4,OD,O,D,O,8,0,0.00
4,OE,O,E,O,8,0,0.00
4,ED,E,D,E,6,1,0.17
4,EO,E,O,E,6,1,0.17
5,PD,D,,D,7,0,0.00
5,PO,O,,D,7,1,0.14
5,PE,E,,E,5,0,0.00
5,DO,D,O,D,7,0,0.00
5,DE,D,E,D,7,0,0.00
5,OD,O,D,D,7,0,0.00
5,OE,O,E,O,8,0,0.00
5,ED,E,D,E,5,0,0.00
5,EO,E,O,E,5,0,0.00
6,PD,D,,D,7,0,0.00
6,PO,O,,D,7,1,0.14
6,PE,E,,E,6,1,0.17
6,DO,D,O,D,7,1,0.14
6,DE,D,E,E,6,0,0.00
6,OD,O,D,D,7,0,0.00
6,OE,O,E,E,5,0,0.00
6,ED,E,D,E,5,0,0.00
6,EO,E,O,O,7,1,0.14
7,PD,D,,D,7,0,0.00
7,PO,O,,D,7,2,0.29
7,PE,E,,E,5,0,0.00
7,DO,D,O,D,7,1,0.14
7,DE,D,E,D,7,1,0.14
7,OD,O,D,D,7,1,0.14
7,OE,O,E,O,7,2,0.29
7,ED,E,D,E,5,0,0.00
7,EO,E,O,E,5,0,0.00
8,PD,D,,D,9,2,0.22
8,PO,O,,O,8,0,0.00
8,PE,E,,E,5,0,0.00
8,DO,D,O,O,7,0,0.00
8,DE,D,E,D,7,1,0.14
8,OD,O,D,O,8,0,0.00
8,OE,O,E,E,5,0,0.00
8,ED,E,D,E,5,0,0.00
8,EO,E,O,O,8,0,0.00
9,PD,D,,D,7,0,0.00
9,PO,O,,O,8,0,0.00
9,PE,E,,E,5,0,0.00
9,DO,D,O,O,8,0,0.00
9,DE,D,E,E,5,0,0.00
9,OD,O,D,D,7,0,0.00
9,OE,O,E,E,5,0,0.00
9,ED,E,D,D,7,0,0.00
9,EO,E,O,O,8,0,0.00
10,PD,D,,D,7,0,0.00
10,PO,O,,D,7,1,0.14
10,PE,E,,E,5,0,0.00
