subject,country,f.good,pd.conv,pd.first,pd.second,pd.conf,pd.trust,pd.why,po.conv,po.first,po.second,po.conf,po.trust,po.why,pe.conv,pe.first,pe.second,pe.conf,pe.trust,pe.why,do.conv,do.first,do.second,do.conf,do.trust,do.why,de.conv,de.first,de.second,de.conf,de.trust,de.why,od.conv,od.first,od.second,od.conf,od.trust,od.why,oe.conv,oe.first,oe.second,oe.conf,oe.trust,oe.why,ed.conv,ed.first,ed.second,ed.conf,ed.trust,ed.why,eo.conv,eo.first,eo.second,eo.conf,eo.trust,eo.why
1,JP,,,,,5,5,,,,,1,1,,,,,7,5,,,,,7,7,,,,,7,7,,,,,7,5,,,,,7,5,,,,,1,4,,,,,3,1,
2,JP,,,,,7,7,,,,,5,7,,,,,1,3,,,,,3,3,,,,,5,7,,,,,4,6,,,,,2,3,,,,,5,5,,,,,6,7,
3,JP,,,,,7,7,,,,,7,7,,,,,7,5,,,,,7,6,,,,,7,7,,,,,7,7,,,,,7,5,,,,,7,6,,,,,7,7,
4,JP,3,0,Suggestion for the usual road,,4,6,Arrive without thinking,0,Suggested the shortest route,,6,6,Because it matched the route that I thought was going to arrive at the earliest,0,"Unusual route suggestion
",,6,4,I wanted to go around as far as I can because I have time,1,Usual route suggestions,Suggestion the shortest route,4,6,Because the shortest route was suggested,1,I was allowed to go as usual road,Let's go as usual road,5,3,I'm not confident about the other road,1,Suggest the shortest route,Usual route suggestions,7,2,Shortest route because there is no time,1,Suggestion the shortest route,Suggestion of a route that has not been,7,2,Because it was a situation that should take the shortest route,1,Suggestion of a different from usual route,Modifying Routes,6,6,"I will take a different route than usual, but not too late.
",1,Suggestions for a different road,Suggestions to get to your destination faster,2,4,I wish I could have gone the farthest.
5,JP,3,0,,,6,6,,1,Uncle recommending the usual road,Suddenly told you to turn left,6,4,"Suddenly confused when told to go left.
I ignored it because it was a little over.",0,,,6,7,,0,,,6,6,,1,As usual,Sometimes go right,6,4,"Because I like the usual.
I was confused after being told a lot later.",1,As usual,"I was told to go to the right, I thought detour",6,3,"When you are impatient, you should definitely follow the usual road.
Go in the first suggested direction.",1,It told me the way without a traffic lights when I thought it would go straight as usual,"He told me to go right.
It is noisy to say a new road when it is intended.",6,6,"At first, it was a bit noisy, so for the time being, I proceeded as usual, and when I was told to go to the left, there was a road, so I went there.",1,Go right,"Go straight and turn left.
noisy later. ",6,5,"Because it was first suggested.
I want to go to a street I didn't see.",1,"told to go right.
","said go straight.
kept saying that it was better to go straight and it was noisy.",6,5,"Because I had plenty of time, I was told right first.
"
6,JP,5,0,The usual road,,5,5,Because highly recommended the usual road,0,The shortest route,,5,5,Because in a hurry,0,The road that has never been,,3,4,Because that was the only choice suggested,1,Usual road,Another suggestion,5,5,I thought the suggested road was closer,1,Usual road,Road that has never been,5,4,I had time to spare,1,Usual road,Fast road to arrive,3,4,I had a lot of conversation and I didn't know which one,1,New road,Usual road,5,5,Because the man was pitiful,1,Usual road,The road which I have never been,4,5,I want to get there for sure.,1,the usual road,The road which I have never been,5,5,I'm in a hurry.
7,JP,6,0,late ang voice,,4,4,Just following the voice guide,0,late ang voice guide,,3,3,because of the voice guidance,0,,malinis ang voice guidance,5,6,Easy to reach the place.,1,,sobra ako nalito sa instruction,4,2,I saw the target place.,1,,nakakalito ang conversation,4,4,familiar,1,,,5,4,easy to go,1,,"nagpanic, magulo",2,2,no choice coz I'm panic,1,,me suggestion na nakakalito,5,4,I tried my own,1,nakakalito,,3,2,Just following the direction
8,JP,7,0,I was worried because it was a different road without any reason,,1,1,I thought the agent was wrong,0,"It was easy to understand.
I thought it was a good suggestion.",,6,7,I was told that it was a quick route,0,I tried to follow but I was worried,,2,1,Because Navi said so,1,"I'm in a hurry but
I feel stressed by saied ""the road I always go through""",Disturbing the story is stress,6,4,"I thought I was told to go the same road, just in a different saying",1,I chose a fast route and thought it was good,"I thought it was unnecessary.
stress.",2,3,"I panicked, so I decided to listen first",1,I thought the fast route was good,I'm in trouble because it prevents me from trying,2,2,"I got on the talking of the first agent, so I just followed the first.",1,I was worried about which one to do,I thought it was a good suggestion because I had time,5,4,I wanted to relax because I had time,1,I thought it was good to relax.,I was offended by the sudden interrupted,5,2,Because I followed the first agent,0,"I was in a hurry, but it was a slow route, so I ignored it.","I thought it was good because it seemed to be a fast route.
",7,2,It's early
9,JP,6,0,As usual,,6,6,Because of peace of mind as usual,0,The shortest route,,2,6,Because I don't have time,0,Unknown route,,6,6,I wanted to follow the suggestion,1,Usual route,Fast route,6,4,I want to go early,1,As usual,Unknown route,6,5,Change of pace,0,Route as usual,I didn't understand well,6,5,I didn't understand one of them,0,As usual,Usually don't go,4,6,I have time to see the scenery I don't know,1,The usual route,"Different Route
",6,6,affording time,1,"Fast Route
","Unfamiliar Route
",6,6,"The first agent trusted me more.
"
10,JP,5,0,Go the usual road,,7,7,Because it seemed like I couldn’t afford it,1,Turn left after 300m and you will arrive early,The Usual road,3,5,I didn't know where 300m away,0,"Turn left on the first road.
Go thorough road I have never said.",,4,6,Because there was time,1,Go the usual road (straight),Turn left then turn right,7,5,"The situation on the left is a slope, because there are concerns about car fuel consumption and the number of traffic lightss is the same as usual (If it was less, it might turn left)",1,Go the usual road,Turn right and follow a road that does not always go,7,7,I had time to spare,0,Take a little shortcut than usual road,,7,7,"It was a road that didn't go very much, so I thought it would be good for getting there early",1,Turn left,Turn right and go in the unforeseen direction of the city,6,6,I had time so I decided to drive,0,turn right,,7,5,I had plenty of time,0,"Turn right at the beginning
",,6,6,"Because I had time.
"
